user_id,url,session_id,timestamp,page_views,session_length_seconds,is_bounce
u057,/signup,sess_0001,2024-01-01 04:11:17,11,899,0
u183,/terms,sess_0002,2024-01-01 02:25:06,16,1398,0
u139,/about,sess_0003,2024-01-01 07:57:27,5,980,0
u023,/about,sess_0004,2024-01-01 05:36:45,12,271,0
u169,/faq,sess_0005,2024-01-01 13:02:02,12,926,0
u146,/login,sess_0006,2024-01-01 00:21:38,8,1476,0
u145,/about,sess_0007,2024-01-01 21:12:48,8,296,0
u076,/contact,sess_0008,2024-01-01 12:12:15,2,2801,0
u134,/checkout,sess_0009,2024-01-01 03:22:43,7,1919,0
u099,/terms,sess_0010,2024-01-01 19:50:10,3,1327,0
u196,/contact,sess_0011,2024-01-01 11:39:08,12,3077,0
u093,/contact,sess_0012,2024-01-01 13:45:09,13,2650,0
u023,/contact,sess_0013,2024-01-01 23:52:20,20,1198,0
u146,/signup,sess_0014,2024-01-01 19:47:19,5,1351,0
u095,/pricing,sess_0015,2024-01-01 21:40:17,16,1447,0
u144,/pricing,sess_0016,2024-01-01 01:45:37,1,3459,1
u025,/cart,sess_0017,2024-01-01 12:14:03,18,559,0
u106,/cart,sess_0018,2024-01-01 20:05:00,15,940,0
u095,/search,sess_0019,2024-01-01 13:09:34,11,2295,0
u064,/search,sess_0020,2024-01-01 12:32:42,11,1406,0
u085,/pricing,sess_0021,2024-01-01 19:40:15,19,2260,0
u099,/signup,sess_0022,2024-01-01 22:04:54,18,679,0
u178,/contact,sess_0023,2024-01-01 11:37:03,5,626,0
u157,/faq,sess_0024,2024-01-01 07:28:40,6,8,0
u094,/signup,sess_0025,2024-01-01 07:27:20,20,3196,0
u033,/signup,sess_0026,2024-01-01 15:22:11,5,567,0
u139,/faq,sess_0027,2024-01-01 20:44:58,8,501,0
u182,/login,sess_0028,2024-01-01 05:52:45,11,2874,0
u175,/pricing,sess_0029,2024-01-01 04:37:37,16,765,0
u172,/product,sess_0030,2024-01-01 13:42:58,18,187,0
u033,/login,sess_0031,2024-01-01 18:37:49,13,2289,0
u066,/home,sess_0032,2024-01-01 03:06:53,3,2685,0
u143,/faq,sess_0033,2024-01-01 03:02:42,15,3072,0
u033,/checkout,sess_0034,2024-01-01 08:34:45,3,3518,0
u071,/blog,sess_0035,2024-01-01 06:10:24,3,634,0
u058,/blog,sess_0036,2024-01-01 10:08:34,16,742,0
u192,/blog,sess_0037,2024-01-01 22:35:25,7,2173,0
u008,/about,sess_0038,2024-01-01 16:28:03,7,1769,0
u023,/cart,sess_0039,2024-01-01 07:09:52,17,3529,0
u133,/home,sess_0040,2024-01-01 00:24:17,10,535,0
u123,/search,sess_0041,2024-01-01 22:29:27,11,684,0
u124,/product,sess_0042,2024-01-01 14:36:54,12,1804,0
u198,/login,sess_0043,2024-01-01 00:27:27,1,426,1
u140,/pricing,sess_0044,2024-01-01 00:16:54,15,1068,0
u061,/blog,sess_0045,2024-01-01 13:20:08,18,3387,0
u084,/faq,sess_0046,2024-01-01 20:15:56,10,1105,0
u057,/product,sess_0047,2024-01-01 12:05:49,9,735,0
u008,/checkout,sess_0048,2024-01-01 01:43:03,9,666,0
u113,/checkout,sess_0049,2024-01-01 14:57:33,6,2741,0
u078,/product,sess_0050,2024-01-01 18:04:03,2,326,0
u098,/checkout,sess_0051,2024-01-01 18:51:17,13,2345,0
u043,/search,sess_0052,2024-01-01 18:12:14,16,810,0
u115,/blog,sess_0053,2024-01-01 03:07:23,20,549,0
u038,/login,sess_0054,2024-01-01 19:07:59,17,2592,0
u191,/about,sess_0055,2024-01-01 03:05:00,9,652,0
u169,/about,sess_0056,2024-01-01 19:33:07,7,3145,0
u162,/signup,sess_0057,2024-01-01 04:08:09,17,2760,0
u054,/signup,sess_0058,2024-01-01 22:13:19,7,3559,0
u016,/terms,sess_0059,2024-01-01 15:17:23,9,2060,0
u057,/privacy,sess_0060,2024-01-01 03:14:50,1,2156,1
u189,/product,sess_0061,2024-01-01 04:44:53,6,2148,0
u097,/blog,sess_0062,2024-01-01 16:59:57,15,2942,0
u135,/faq,sess_0063,2024-01-01 13:31:46,17,843,0
u033,/checkout,sess_0064,2024-01-01 18:13:33,1,1869,1
u123,/about,sess_0065,2024-01-01 03:56:50,2,2001,0
u029,/pricing,sess_0066,2024-01-01 05:59:54,5,1014,0
u198,/home,sess_0067,2024-01-01 03:06:44,17,2366,0
u141,/blog,sess_0068,2024-01-01 13:50:32,7,1094,0
u086,/login,sess_0069,2024-01-01 01:28:17,10,2402,0
u027,/product,sess_0070,2024-01-01 05:43:55,16,2082,0
u104,/blog,sess_0071,2024-01-01 04:41:42,4,2087,0
u019,/cart,sess_0072,2024-01-01 18:49:21,18,1422,0
u149,/blog,sess_0073,2024-01-01 11:23:36,11,168,0
u038,/about,sess_0074,2024-01-01 08:49:25,13,739,0
u034,/signup,sess_0075,2024-01-01 10:46:15,20,1975,0
u028,/terms,sess_0076,2024-01-01 20:35:31,9,429,0
u175,/terms,sess_0077,2024-01-01 01:07:27,10,1660,0
u055,/privacy,sess_0078,2024-01-01 08:04:40,7,2849,0
u053,/terms,sess_0079,2024-01-01 12:01:46,6,1633,0
u154,/terms,sess_0080,2024-01-01 08:46:25,3,72,0
u153,/product,sess_0081,2024-01-01 13:20:51,13,2871,0
u080,/about,sess_0082,2024-01-01 04:29:30,12,494,0
u023,/pricing,sess_0083,2024-01-01 10:32:55,15,232,0
u097,/product,sess_0084,2024-01-01 02:40:25,15,2353,0
u035,/search,sess_0085,2024-01-01 03:36:37,3,2723,0
u062,/product,sess_0086,2024-01-01 19:51:08,19,1214,0
u121,/privacy,sess_0087,2024-01-01 18:50:41,11,2843,0
u067,/search,sess_0088,2024-01-01 10:08:39,11,3437,0
u160,/terms,sess_0089,2024-01-01 09:32:50,7,3364,0
u092,/contact,sess_0090,2024-01-01 08:16:55,6,1085,0
u166,/blog,sess_0091,2024-01-01 04:20:55,11,1254,0
u025,/about,sess_0092,2024-01-01 21:52:15,18,1064,0
u186,/login,sess_0093,2024-01-01 02:24:05,16,2942,0
u141,/search,sess_0094,2024-01-01 14:09:19,6,604,0
u173,/privacy,sess_0095,2024-01-01 06:55:15,9,3507,0
u090,/cart,sess_0096,2024-01-01 14:15:15,6,3012,0
u168,/contact,sess_0097,2024-01-01 03:35:14,4,2780,0
u022,/contact,sess_0098,2024-01-01 04:33:33,4,957,0
u190,/search,sess_0099,2024-01-01 22:56:48,19,66,0
u114,/login,sess_0100,2024-01-01 07:15:22,19,1390,0
u078,/about,sess_0101,2024-01-01 09:38:37,10,83,0
u075,/pricing,sess_0102,2024-01-01 15:02:49,5,2777,0
u054,/privacy,sess_0103,2024-01-01 13:24:50,5,2206,0
u195,/faq,sess_0104,2024-01-01 14:35:18,4,259,0
u047,/terms,sess_0105,2024-01-01 09:45:46,2,3218,0
u185,/about,sess_0106,2024-01-01 13:14:20,11,2576,0
u018,/about,sess_0107,2024-01-01 01:56:15,20,71,0
u030,/login,sess_0108,2024-01-01 02:58:06,2,1552,0
u047,/about,sess_0109,2024-01-01 17:51:29,6,2519,0
u104,/checkout,sess_0110,2024-01-01 11:31:29,16,2916,0
u015,/cart,sess_0111,2024-01-01 06:35:23,14,2286,0
u065,/pricing,sess_0112,2024-01-01 12:20:25,17,1292,0
u111,/blog,sess_0113,2024-01-01 23:46:13,19,2739,0
u028,/contact,sess_0114,2024-01-01 09:10:26,6,2760,0
u091,/search,sess_0115,2024-01-01 04:50:33,13,2240,0
u023,/faq,sess_0116,2024-01-01 20:16:03,11,1869,0
u114,/contact,sess_0117,2024-01-01 08:54:08,5,2465,0
u118,/pricing,sess_0118,2024-01-01 02:01:43,17,2524,0
u164,/contact,sess_0119,2024-01-01 02:03:07,3,47,0
u114,/privacy,sess_0120,2024-01-01 01:51:18,17,110,0
u011,/privacy,sess_0121,2024-01-01 09:02:57,8,2022,0
u151,/product,sess_0122,2024-01-01 20:14:28,6,1648,0
u163,/pricing,sess_0123,2024-01-01 05:31:55,7,10,0
u177,/search,sess_0124,2024-01-01 21:55:18,2,1050,0
u198,/faq,sess_0125,2024-01-01 11:05:29,20,942,0
u081,/privacy,sess_0126,2024-01-01 11:52:56,6,2199,0
u047,/about,sess_0127,2024-01-01 13:25:32,13,1185,0
u163,/faq,sess_0128,2024-01-01 02:58:36,17,1595,0
u017,/faq,sess_0129,2024-01-01 21:58:59,10,3194,0
u053,/terms,sess_0130,2024-01-01 19:19:13,1,2534,1
u180,/faq,sess_0131,2024-01-01 03:27:42,2,359,0
u080,/about,sess_0132,2024-01-01 11:18:49,5,2160,0
u089,/product,sess_0133,2024-01-01 13:35:06,6,1061,0
u103,/blog,sess_0134,2024-01-01 06:37:28,6,985,0
u023,/privacy,sess_0135,2024-01-01 18:28:39,3,1244,0
u013,/login,sess_0136,2024-01-01 14:35:28,1,2863,1
u027,/faq,sess_0137,2024-01-01 06:42:20,9,1356,0
u137,/privacy,sess_0138,2024-01-01 15:40:16,8,1943,0
u058,/home,sess_0139,2024-01-01 08:44:29,7,856,0
u038,/home,sess_0140,2024-01-01 18:01:13,19,3220,0
u154,/login,sess_0141,2024-01-01 21:46:09,13,1281,0
u162,/search,sess_0142,2024-01-01 05:07:59,2,1164,0
u014,/about,sess_0143,2024-01-01 18:39:14,11,2694,0
u167,/checkout,sess_0144,2024-01-01 09:46:31,15,3492,0
u093,/terms,sess_0145,2024-01-01 20:23:14,16,3145,0
u039,/search,sess_0146,2024-01-01 13:48:18,16,2089,0
u078,/cart,sess_0147,2024-01-01 06:01:57,2,2578,0
u021,/login,sess_0148,2024-01-01 19:38:08,5,3503,0
u169,/cart,sess_0149,2024-01-01 17:31:11,13,2837,0
u179,/login,sess_0150,2024-01-01 12:53:05,1,1795,1
u007,/cart,sess_0151,2024-01-01 16:26:43,3,3513,0
u063,/signup,sess_0152,2024-01-01 12:53:33,5,3592,0
u080,/about,sess_0153,2024-01-01 04:16:44,4,3535,0
u173,/faq,sess_0154,2024-01-01 03:07:15,18,314,0
u163,/cart,sess_0155,2024-01-01 07:04:17,10,1972,0
u117,/product,sess_0156,2024-01-01 05:12:06,15,2996,0
u186,/privacy,sess_0157,2024-01-01 20:37:30,1,2689,1
u157,/pricing,sess_0158,2024-01-01 20:21:19,16,1537,0
u006,/cart,sess_0159,2024-01-01 04:57:31,1,1776,1
u131,/search,sess_0160,2024-01-01 08:47:01,20,2329,0
u071,/checkout,sess_0161,2024-01-01 03:17:10,12,1388,0
u132,/checkout,sess_0162,2024-01-01 01:24:05,1,2068,1
u152,/product,sess_0163,2024-01-01 06:09:01,6,733,0
u151,/privacy,sess_0164,2024-01-01 10:17:40,1,2167,1
u151,/signup,sess_0165,2024-01-01 10:11:59,3,148,0
u147,/pricing,sess_0166,2024-01-01 14:17:13,12,3090,0
u003,/terms,sess_0167,2024-01-01 15:06:57,16,2625,0
u085,/home,sess_0168,2024-01-01 09:03:24,10,454,0
u179,/pricing,sess_0169,2024-01-01 04:10:03,13,1764,0
u069,/checkout,sess_0170,2024-01-01 19:51:01,4,3256,0
u079,/contact,sess_0171,2024-01-01 16:54:47,19,407,0
u051,/privacy,sess_0172,2024-01-01 00:04:44,10,311,0
u161,/contact,sess_0173,2024-01-01 16:47:13,18,2590,0
u114,/terms,sess_0174,2024-01-01 05:01:26,5,1529,0
u007,/login,sess_0175,2024-01-01 01:48:52,18,3517,0
u028,/signup,sess_0176,2024-01-01 08:33:52,14,3005,0
u037,/about,sess_0177,2024-01-01 02:43:20,6,2111,0
u161,/faq,sess_0178,2024-01-01 12:59:40,1,48,1
u149,/cart,sess_0179,2024-01-01 23:02:45,9,1017,0
u056,/search,sess_0180,2024-01-01 00:19:05,19,1157,0
u173,/signup,sess_0181,2024-01-01 02:25:42,5,1224,0
u155,/contact,sess_0182,2024-01-01 08:17:40,15,843,0
u114,/home,sess_0183,2024-01-01 08:45:10,16,407,0
u115,/pricing,sess_0184,2024-01-01 14:08:22,12,635,0
u120,/home,sess_0185,2024-01-01 11:06:19,1,652,1
u022,/privacy,sess_0186,2024-01-01 02:32:09,16,534,0
u009,/login,sess_0187,2024-01-01 19:45:54,15,3304,0
u129,/pricing,sess_0188,2024-01-01 07:23:22,17,2935,0
u161,/signup,sess_0189,2024-01-01 18:28:09,4,1830,0
u065,/cart,sess_0190,2024-01-01 03:55:26,11,1880,0
u143,/terms,sess_0191,2024-01-01 12:42:24,1,3454,1
u096,/blog,sess_0192,2024-01-01 09:29:06,7,756,0
u025,/signup,sess_0193,2024-01-01 20:54:40,2,2019,0
u169,/checkout,sess_0194,2024-01-01 17:22:35,11,802,0
u100,/checkout,sess_0195,2024-01-01 23:35:08,7,1424,0
u061,/home,sess_0196,2024-01-01 16:31:07,13,516,0
u070,/terms,sess_0197,2024-01-01 13:44:29,17,1698,0
u108,/faq,sess_0198,2024-01-01 01:12:21,13,2970,0
u180,/pricing,sess_0199,2024-01-01 13:07:14,9,951,0
u070,/cart,sess_0200,2024-01-01 02:17:28,2,1744,0
u162,/contact,sess_0201,2024-01-01 10:07:20,11,1173,0
u088,/privacy,sess_0202,2024-01-01 04:13:21,13,1382,0
u187,/pricing,sess_0203,2024-01-01 06:21:08,4,2896,0
u110,/cart,sess_0204,2024-01-01 13:48:50,1,3258,1
u024,/faq,sess_0205,2024-01-01 10:42:59,5,2216,0
u166,/contact,sess_0206,2024-01-01 21:47:55,1,744,1
u161,/checkout,sess_0207,2024-01-01 16:14:46,17,433,0
u078,/about,sess_0208,2024-01-01 11:41:42,17,1908,0
u023,/about,sess_0209,2024-01-01 02:31:28,3,3317,0
u111,/search,sess_0210,2024-01-01 10:26:21,10,1592,0
u070,/cart,sess_0211,2024-01-01 23:25:03,10,61,0
u177,/signup,sess_0212,2024-01-01 15:17:52,18,758,0
u191,/pricing,sess_0213,2024-01-01 15:09:38,15,2101,0
u174,/signup,sess_0214,2024-01-01 17:48:33,20,2255,0
u052,/privacy,sess_0215,2024-01-01 02:40:29,13,2733,0
u154,/blog,sess_0216,2024-01-01 20:57:08,17,1567,0
u002,/about,sess_0217,2024-01-01 10:53:51,1,405,1
u017,/blog,sess_0218,2024-01-01 20:05:58,12,3472,0
u082,/search,sess_0219,2024-01-01 19:43:35,9,924,0
u151,/faq,sess_0220,2024-01-01 11:09:57,9,1794,0
u191,/product,sess_0221,2024-01-01 14:37:46,18,34,0
u087,/checkout,sess_0222,2024-01-01 19:47:16,20,2401,0
